@RELATION smartphone
@ATTRIBUTE Gender {Female,LGBTQ+,Male}
@ATTRIBUTE Age_range {18-25,26-32,26-35,33-40,36-45,46-55,56+,60+}
@ATTRIBUTE Status {Married,Single,Student,Working}
@ATTRIBUTE Top3_smartphone_activities STRING
@ATTRIBUTE Frequent_apps STRING
@ATTRIBUTE Daily_usage_duration {'0-1 hours','1-3 hours','3-5 hours','5-6 hours','>5 hours'}
@ATTRIBUTE Smartphone_importance {'Highly essential','Not important','Not necessary','Somewhat important',Essential}
@ATTRIBUTE Key_factor_online_purchase {'Product features','Product reviews','Sensor quality','Value for money',Battery,Brand,Camera,Design,Durability,Ecosystem,Features,Performance,Price,Reliability,Simplicity,Stability}
@ATTRIBUTE Brand_satisfaction {1,2,3,4,5}
@ATTRIBUTE Purchase_problem {'After-sales service issues','Blurry camera','Cannot try product before buying','Complex payment process','Concerns about after-sales service','Concerns about payment security','Concerns about safety','Concerns about warranty','Dead pixels on screen','Delivery delays','Device overheats','Difficult return process','Difficult to compare prices','Insufficient storage','Issues with delivery','Limited warranty coverage','No problems','Outdated system','Payment issues','Payment security concerns','Product is too expensive','Product quality doesn\'t match ads','System crashes frequently','Unable to inspect product','Uncertainty about after-sales service','Uncertainty about warranty','Warranty or service concerns'}
@ATTRIBUTE Monthly_income {'Less than 15000',100001-150000,15001-20000,20001-30000,25001-35000,30001-40000,30001-50000,50001,50001-100000}
@ATTRIBUTE Occupation {'Business owner','Civil servant','Content creator','Delivery staff','Factory worker','Logistics staff','Office worker','Online seller','Private company employee',Artist,Employee,Freelancer,Housewife,Investor,Manager,Retired,Student}
@ATTRIBUTE Current_brand {'Realme 7 5G',Apple,Huawei,Infinix,Oppo,Realme,Redmi,Samsung,Vivo,Xiaomi}
@DATA
LGBTQ+,33-40,Single,'Online shopping Track delivery Customer chat','Instagram Facebook YouTube Facebook Messenger Spotify','0-1 hours','Not necessary',Battery,4,'Dead pixels on screen','Less than 15000','Delivery staff',?
Female,33-40,Married,'Play games Streaming Social media',WhatsApp,'1-3 hours','Not important',Stability,5,'After-sales service issues',15001-20000,'Business owner',?
LGBTQ+,18-25,Working,'Social media Take photos/videos Watch movies/Listen to music','Instagram Facebook YouTube Facebook Messenger TikTok','1-3 hours',Essential,'Value for money',3,'Uncertainty about warranty',20001-30000,Employee,?
LGBTQ+,26-35,Single,'Watch movies/listen to music Take photos/videos Social media','Microsoft Teams','1-3 hours',Essential,'Product reviews',3,'Difficult return process','Less than 15000','Private company employee',?
Male,26-35,Single,'Social media Take photos/videos Watch movies/Listen to music','Instagram Facebook YouTube Facebook Messenger TikTok','>5 hours','Highly essential','Product reviews',1,'Insufficient storage',20001-30000,Student,?
LGBTQ+,36-45,Student,'Watch movies/listen to music Play games Take photos/videos','Instagram Facebook YouTube Facebook Messenger TikTok Telegram','5-6 hours','Not necessary',Reliability,2,'Product quality doesn\'t match ads','Less than 15000','Office worker',?
Male,33-40,Married,'Play games Watch movies Take photos','Instagram Facebook YouTube Facebook Messenger Spotify WhatsApp TikTok Telegram','5-6 hours','Not important',Battery,3,'Insufficient storage','Less than 15000',Employee,?
Male,26-35,Married,'Play esports Stream games Community chat','Microsoft Teams','1-3 hours','Somewhat important',Stability,5,'Device overheats','Less than 15000','Private company employee',?
LGBTQ+,60+,Student,'Watch movies/listen to music Play games Take photos','Facebook TikTok Line','1-3 hours','Not important',Durability,1,'Device overheats','Less than 15000',Artist,?
Female,18-25,Married,'Email Finance','Instagram Facebook YouTube Facebook Messenger Spotify','1-3 hours','Not necessary',Price,3,'No problems','Less than 15000','Online seller',?
Male,56+,Working,'Chat with family Read e-books Listen to radio','YouTube TikTok','5-6 hours','Somewhat important','Product features',2,'Payment security concerns',15001-20000,'Civil servant',?
Male,46-55,Single,'Take photos/videos Communication/meetings Social media','Instagram Facebook YouTube Facebook Messenger Spotify TikTok','5-6 hours','Somewhat important',Performance,1,'Limited warranty coverage','Less than 15000','Private company employee',?
Male,46-55,Single,'Take photos/videos Communication/meetings Social media','Instagram Facebook YouTube Snapchat Facebook Messenger Spotify WhatsApp TikTok Telegram','5-6 hours','Highly essential','Sensor quality',3,'Complex payment process',15001-20000,Investor,?
Female,36-45,Working,'Watch movies/listen to music Take photos/videos','Instagram Facebook Messenger TikTok','1-3 hours','Not important',Design,2,'Device overheats',15001-20000,Manager,?
LGBTQ+,60+,Single,'Product photography Edit reviews Online marketplace',Shopee,'0-1 hours','Highly essential',Features,5,'Product is too expensive','Less than 15000','Factory worker',?
Female,36-45,Student,'Online shopping Social media Finance','Instagram YouTube Spotify TikTok','3-5 hours','Not necessary',Durability,4,'Difficult to compare prices','Less than 15000','Civil servant',?
Female,26-35,Student,'Online meetings Schedule management Email','Instagram Facebook YouTube Spotify TikTok','>5 hours','Highly essential','Sensor quality',2,'Difficult to compare prices','Less than 15000',Manager,?
Female,18-25,Student,'Watch movies/listen to music Play games Take photos/videos','Instagram Facebook YouTube Facebook Messenger Spotify TikTok','5-6 hours','Not necessary',Camera,2,'Outdated system','Less than 15000',Investor,?
LGBTQ+,26-35,Married,'Watch movies Take photos Listen to music','Instagram Facebook YouTube Facebook Messenger Spotify','>5 hours','Not important',Performance,5,'Concerns about safety','Less than 15000','Delivery staff',?
LGBTQ+,26-35,Working,'Online shopping Track delivery Customer chat','Instagram Facebook YouTube Snapchat Facebook Messenger Spotify WhatsApp TikTok Telegram','1-3 hours','Somewhat important',Features,2,'Concerns about safety',25001-35000,Artist,?
Male,60+,Married,'Play games Watch movies Take photos','Facebook YouTube Facebook Messenger TikTok','3-5 hours','Not necessary',Camera,2,'Device overheats','Less than 15000',Employee,?
LGBTQ+,36-45,Single,'Take photos Listen to music Social media','Instagram TikTok','3-5 hours',Essential,'Sensor quality',4,'Complex payment process','Less than 15000','Private company employee',?
Male,26-32,Working,'Communication Take photos Social media','Instagram Facebook TikTok','5-6 hours','Not important','Product features',5,'Outdated system','Less than 15000','Logistics staff',?
Female,60+,Working,'TikTok Livestream Search information','Instagram Facebook YouTube Facebook Messenger TikTok Line','1-3 hours','Not necessary',Simplicity,1,'Uncertainty about warranty',30001-40000,Retired,?
LGBTQ+,56+,Married,'Watch movies Listen to music Take photos',Gmail,'0-1 hours',Essential,Durability,4,'Concerns about after-sales service',50001-100000,'Logistics staff',?
Male,26-35,Working,'Play games Watch movies Take photos',TikTok,'>5 hours',Essential,Price,3,'Unable to inspect product',15001-20000,Employee,?
LGBTQ+,36-45,Student,'Watch movies/listen to music Take photos/videos Communication/meetings','Instagram YouTube Facebook Messenger Spotify TikTok','5-6 hours','Highly essential',Performance,1,'Product is too expensive','Less than 15000','Content creator',?
Male,60+,Married,'Watch movies/listen to music Take photos/videos','Instagram Facebook YouTube Snapchat Facebook Messenger Spotify WhatsApp TikTok','5-6 hours','Not necessary',Price,4,'Outdated system','Less than 15000','Office worker',?
LGBTQ+,26-32,Single,'Play games Streaming Take photos/videos',VSCO,'0-1 hours','Not necessary',Design,3,'Warranty or service concerns',30001-50000,'Business owner',?
LGBTQ+,18-25,Student,'Watch movies/listen to music Take photos/videos',Shopee,'3-5 hours','Somewhat important',Price,1,'Product is too expensive','Less than 15000','Private company employee',?
Male,36-45,Married,'GPS navigation Check car condition Listen to podcasts',Facebook,'1-3 hours','Highly essential','Product features',1,'Uncertainty about after-sales service',20001-30000,'Business owner',?
Female,33-40,Working,'GPS navigation Check car condition Listen to podcasts','Instagram Facebook YouTube','3-5 hours',Essential,Price,1,'No problems','Less than 15000','Delivery staff',?
Female,26-35,Single,'Play games Take photos/videos',Instagram,'>5 hours',Essential,Reliability,1,'Concerns about safety',20001-30000,Artist,?
Female,18-25,Student,'Watch movies/listen to music Take photos/videos Social media','Instagram Facebook YouTube Facebook Messenger Spotify TikTok Telegram','5-6 hours','Highly essential','Sensor quality',2,'Concerns about warranty','Less than 15000','Factory worker',?
Male,36-45,Student,'Cloud apps Communication/meetings Social media',Gmail,'0-1 hours','Not important',Ecosystem,5,'Difficult to compare prices',15001-20000,Investor,?
Female,36-45,Single,'Watch movies/listen to music Communication/meetings Social media','Instagram YouTube Facebook Messenger Spotify TikTok','5-6 hours','Not important','Value for money',2,'No problems','Less than 15000',Housewife,?
Male,46-55,Single,'Play games Streaming Social media','Instagram Facebook YouTube','5-6 hours','Not necessary',Durability,5,'System crashes frequently','Less than 15000',Student,?
Male,56+,Married,'/ Email Finance',VSCO,'3-5 hours','Somewhat important',Simplicity,5,'Blurry camera','Less than 15000',Retired,?
LGBTQ+,33-40,Single,'Online shopping Track delivery Customer chat','Instagram Facebook YouTube Facebook Messenger Spotify','0-1 hours','Not necessary',Battery,4,'Dead pixels on screen','Less than 15000','Delivery staff',?
LGBTQ+,26-32,Working,'Watch movies/listen to music Social media','Instagram Facebook YouTube Spotify TikTok','1-3 hours','Not important',Simplicity,5,'Insufficient storage','Less than 15000','Delivery staff',?
Female,60+,Married,'/ Email Finance','Instagram Facebook YouTube','5-6 hours','Not important',Price,2,'Device overheats',20001-30000,Student,?
LGBTQ+,36-45,Student,'Chat with family Read e-books Listen to radio','Instagram Facebook YouTube TikTok','0-1 hours',Essential,Battery,4,'Product quality doesn\'t match ads','Less than 15000',Freelancer,?
LGBTQ+,18-25,Working,'Art photography Video editing Upload stories','Microsoft Teams','3-5 hours','Somewhat important',Features,1,'Difficult return process',15001-20000,'Private company employee',?
LGBTQ+,56+,Married,'GPS navigation Check car condition Listen to podcasts','Instagram Facebook Facebook Messenger TikTok','>5 hours','Not important',Stability,2,'Product quality doesn\'t match ads','Less than 15000','Office worker',?
Male,56+,Married,'/ Email Finance',VSCO,'3-5 hours','Somewhat important',Simplicity,5,'Blurry camera','Less than 15000',Retired,?
LGBTQ+,26-35,Married,'Watch movies Take photos Listen to music','Instagram Facebook YouTube Facebook Messenger Spotify','>5 hours','Not important',Performance,5,'Concerns about safety','Less than 15000','Delivery staff',?
Male,46-55,Student,'Watch movies/listen to music Play games Communication/meetings','Instagram TikTok','>5 hours','Highly essential',Durability,1,'Unable to inspect product',50001-100000,'Content creator',?
LGBTQ+,33-40,Student,'Social media Take photos/videos Watch movies/Listen to music','Instagram Facebook Facebook Messenger TikTok Telegram','>5 hours','Highly essential',Battery,5,'Concerns about safety','Less than 15000','Factory worker',?
Female,33-40,Married,'Watch movies Listen to music Take photos',Shopee,'5-6 hours','Not necessary','Value for money',1,'Concerns about payment security','Less than 15000',Manager,?
Male,36-45,Single,'Play games Streaming Social media',WhatsApp,'1-3 hours','Somewhat important',Features,3,'Payment issues',15001-20000,Student,?
Female,36-45,Married,'Online shopping Track delivery Customer chat',LINE,'1-3 hours',Essential,Reliability,4,'Difficult return process',30001-50000,Housewife,?
Female,26-32,Student,'Watch movies/listen to music Play games Social media',TikTok,'1-3 hours','Somewhat important',Camera,2,'Concerns about after-sales service','Less than 15000',Housewife,?
LGBTQ+,18-25,Married,'Take photos/videos Communication/meetings Social media','YouTube TikTok','0-1 hours','Highly essential',Performance,2,'No problems',30001-50000,'Delivery staff',?
LGBTQ+,18-25,Single,'Art photography Video editing Upload stories',VSCO,'5-6 hours','Highly essential','Sensor quality',5,'No problems',20001-30000,Artist,?
LGBTQ+,36-45,Student,'Watch movies/listen to music Play games Take photos/videos','Instagram Facebook YouTube Facebook Messenger TikTok Telegram','5-6 hours','Not necessary',Reliability,2,'Product quality doesn\'t match ads','Less than 15000','Office worker',?
LGBTQ+,60+,Married,'Watch movies/listen to music Play games Take photos/videos','Facebook YouTube Facebook Messenger','0-1 hours','Somewhat important',Simplicity,5,'Concerns about payment security','Less than 15000',Freelancer,?
Female,18-25,Married,'Watch movies/listen to music Take photos/videos Communication/meetings','Instagram YouTube TikTok','1-3 hours','Not necessary',Camera,1,'Device overheats','Less than 15000',Retired,?
Male,46-55,Single,'Watch movies/listen to music Play games Social media','Instagram Facebook TikTok','3-5 hours',Essential,'Product features',4,'Cannot try product before buying',20001-30000,Freelancer,?
LGBTQ+,33-40,Single,'Online shopping Social media Finance','Facebook YouTube Facebook Messenger','5-6 hours',Essential,Features,2,'Concerns about after-sales service',15001-20000,'Civil servant',?
LGBTQ+,18-25,Working,'Communication/meetings Social media','YouTube Facebook Messenger Discord Wise','1-3 hours','Highly essential',Features,4,'Product quality doesn\'t match ads','Less than 15000','Online seller',?
Female,18-25,Married,'Watch movies/listen to music Take photos/videos Social media',TikTok,'1-3 hours','Highly essential',Simplicity,2,'Insufficient storage',50001-100000,Student,?
LGBTQ+,18-25,Married,'Play games Streaming Take photos/videos',TikTok,'1-3 hours','Not necessary',Brand,2,'Payment security concerns','Less than 15000',Housewife,?
Male,60+,Working,'Play games Take photos/videos','Instagram Facebook YouTube Facebook Messenger Spotify TikTok Telegram','3-5 hours','Somewhat important','Value for money',3,'After-sales service issues',30001-50000,Retired,?
LGBTQ+,26-35,Student,'Communication Take photos Social media','Google Maps','1-3 hours','Highly essential',Reliability,4,'Concerns about safety','Less than 15000','Business owner',?
Female,60+,Married,'Social media Take photos/videos Watch movies/Listen to music','Instagram YouTube Facebook Messenger TikTok','>5 hours','Highly essential',Performance,3,'Uncertainty about warranty','Less than 15000',Housewife,?
Female,33-40,Married,'Watch movies Listen to music Take photos',Shopee,'5-6 hours','Not necessary','Value for money',1,'Concerns about payment security','Less than 15000',Manager,?
LGBTQ+,56+,Student,'Email Finance','Instagram Facebook YouTube Facebook Messenger Spotify','>5 hours','Not necessary',Camera,3,'Complex payment process',15001-20000,'Delivery staff',?
LGBTQ+,36-45,Student,'TikTok Livestream Search information','Instagram Facebook YouTube Facebook Messenger Spotify','5-6 hours','Somewhat important',Simplicity,1,'Product quality doesn\'t match ads','Less than 15000','Business owner',?
Female,33-40,Single,'Play games Take photos/videos','Instagram Facebook YouTube Facebook Messenger Spotify WhatsApp TikTok Telegram','>5 hours','Highly essential',Camera,1,'Limited warranty coverage','Less than 15000','Online seller',?
LGBTQ+,33-40,Single,'Online shopping Track delivery Customer chat','Instagram Facebook YouTube Facebook Messenger Spotify','0-1 hours','Not necessary',Battery,4,'Dead pixels on screen','Less than 15000','Delivery staff',?
