Gender,Age_range,Status,Top3_smartphone_activities,Frequent_apps,Daily_usage_duration,Smartphone_importance,Current_brand,Key_factor_online_purchase,Brand_satisfaction,Purchase_problem,Monthly_income,Occupation
Male,26-35,Working,"Watch movies, Play games, Take photos","Instagram, Facebook, Facebook Messenger, Spotify, TikTok",1-3 hours,Essential,Samsung,Stability,1,Difficult return process,15001-20000,Student
Male,33-40,Working,"Email, , Finance",YouTube,0-1 hours,Highly essential,Oppo,Design,3,Cannot try product before buying,15001-20000,Investor
LGBTQ+,60+,Married,"Play games, Take photos/videos",TikTok,0-1 hours,Not necessary,Other,Stability,4,Cannot try product before buying,Less than 15000,Freelancer
LGBTQ+,26-35,Working,"Product photography, Edit reviews, Online marketplace","Instagram, Facebook, Facebook Messenger, TikTok, Telegram",>5 hours,Highly essential,Vivo,Brand,4,Warranty or service concerns,Less than 15000,Artist
Female,26-32,Single,"Watch movies/listen to music, Play games, Take photos","Instagram, YouTube, TikTok",1-3 hours,Somewhat important,Calculator,Value for money,1,Warranty or service concerns,15001-20000,Logistics staff
Male,46-55,Married,"Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger",5-6 hours,Somewhat important,Vivo,Value for money,4,Product quality doesn't match ads,Less than 15000,Civil servant
LGBTQ+,33-40,Married,"Watch movies, Take photos, Listen to music","Instagram, Facebook, Facebook Messenger, TikTok",0-1 hours,Essential,Realme,Ecosystem,5,Product quality doesn't match ads,20001-30000,Civil servant
Female,18-25,Student,"Watch movies/listen to music, Play games, Take photos",CapCut,>5 hours,Essential,Oppo,Sensor quality,3,Difficult return process,15001-20000,Investor
Female,26-32,Married,"Watch movies, Take photos, Listen to music",WhatsApp,3-5 hours,Somewhat important,Samsung,Camera,4,Difficult return process,Less than 15000,Investor
Male,18-25,Single,"Watch movies/listen to music, Take photos/videos, Communication/meetings","Instagram, Facebook, YouTube, Facebook Messenger, Telegram",1-3 hours,Essential,Realme 7 5G,Product features,3,Concerns about payment security,Less than 15000,Student
Female,33-40,Single,"Watch movies/listen to music, Play games, Social media","Instagram, Facebook, Facebook Messenger, TikTok, LINE",0-1 hours,Essential,Oppo,Product features,5,Concerns about safety,15001-20000,Private company employee
LGBTQ+,46-55,Single,"TikTok, Livestream, Search information","Instagram, Facebook, Facebook Messenger, TikTok",3-5 hours,Highly essential,Huawei,Battery,2,Product quality doesn't match ads,Less than 15000,Freelancer
Male,18-25,Single,"Watch movies/listen to music, Social media","Instagram, YouTube, TikTok",>5 hours,Essential,Huawei,Product features,3,Unable to inspect product,Less than 15000,Office worker
LGBTQ+,36-45,Single,"Watch movies, Play games, Take photos","Facebook, YouTube, Facebook Messenger, Spotify",3-5 hours,Not important,Realme,Value for money,3,Warranty or service concerns,20001-30000,Logistics staff
Male,33-40,Working,"Play games, Take photos, Watch movies",Microsoft Teams,3-5 hours,Essential,Huawei,Performance,3,Concerns about warranty,Less than 15000,Office worker
LGBTQ+,33-40,Student,"Watch movies/listen to music, Social media","Instagram, Facebook, YouTube, Facebook Messenger, TikTok",3-5 hours,Highly essential,Other,Reliability,1,Difficult return process,Less than 15000,Content creator
Female,33-40,Married,"Watch movies, Listen to music, Take photos",Shopee,5-6 hours,Not necessary,Redmi,Value for money,1,Concerns about payment security,Less than 15000,Manager
Female,36-45,Student,"Cloud apps, Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger, TikTok",>5 hours,Not necessary,Huawei,Performance,4,Concerns about payment security,Less than 15000,Content creator
Female,46-55,Working,"Watch movies/listen to music, Play games, Communication/meetings",Facebook Messenger,1-3 hours,Not necessary,Apple,Simplicity,3,Concerns about safety,Less than 15000,Housewife
LGBTQ+,33-40,Student,"Play games, Take photos/videos, Cloud apps",Instagram,>5 hours,Not important,Other,Battery,4,Concerns about after-sales service,Less than 15000,Logistics staff
Female,33-40,Married,"Play games, Take photos/videos",Facebook,3-5 hours,Essential,Oppo,Value for money,5,Limited warranty coverage,Less than 15000,Student
Male,26-35,Married,"Play games, Take photos/videos",Facebook,5-6 hours,Essential,Infinix,Performance,3,Uncertainty about warranty,Less than 15000,Content creator
Male,26-32,Married,"Streaming, Take photos/videos, Edit video",SET,1-3 hours,Highly essential,Calculator,Features,1,Unable to inspect product,15001-20000,Artist
Male,60+,Married,"Read news, Check stocks, Finance","Facebook, Facebook Messenger, Line",0-1 hours,Not important,Samsung,Price,5,Dead pixels on screen,30001-50000,Logistics staff
Male,26-35,Working,"Play games, Streaming, Social media","Instagram, Spotify, TikTok",1-3 hours,Somewhat important,Xiaomi,Product features,3,Payment issues,15001-20000,Freelancer
LGBTQ+,18-25,Student,"Play games, Streaming, Take photos/videos",Telegram,3-5 hours,Highly essential,Vivo,Brand,3,Concerns about warranty,20001-30000,Freelancer
LGBTQ+,46-55,Married,"Online shopping, Social media, Finance",CapCut,0-1 hours,Not important,Samsung,Product features,4,Cannot try product before buying, 50001 ,Housewife
Male,18-25,Single,"Watch movies/listen to music, Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram",1-3 hours,Highly essential,Calculator,Product features,5,Concerns about payment security,15001-20000,Student
Male,36-45,Student,"Online shopping, Track delivery, Customer chat","Instagram, Facebook, YouTube, Facebook Messenger, Telegram",3-5 hours,Essential,Other,Sensor quality,2,Blurry camera,Less than 15000,Manager
Male,18-25,Single,"Watch movies/listen to music, Play games, Take photos/videos",YouTube,1-3 hours,Highly essential,Apple,Product reviews,1,Uncertainty about after-sales service,Less than 15000,Office worker
LGBTQ+,36-45,Married,"Watch movies/listen to music, Take photos/videos, Social media","YouTube, TikTok",0-1 hours,Not important,Redmi,Brand,5,Device overheats,Less than 15000,Investor
LGBTQ+,33-40,Single,"Play games, Take photos/videos, Cloud apps","Instagram, Facebook, YouTube, Facebook Messenger, Telegram",3-5 hours,Not important,Infinix,Sensor quality,4,No problems,Less than 15000,Delivery staff
Male,46-55,Working,"Track delivery, Customer chat, Email",SET,>5 hours,Not important,Samsung,Reliability,4,Concerns about after-sales service,Less than 15000,Private company employee
Female,56+,Student,"Take photos/videos, Watch movies/Listen to music, Online shopping","Instagram, Facebook, YouTube, Facebook Messenger, Spotify",0-1 hours,Highly essential,Other,Reliability,4,Issues with delivery,Less than 15000,Private company employee
LGBTQ+,18-25,Student,"Watch movies/listen to music, Take photos/videos",Shopee,3-5 hours,Somewhat important,Redmi,Price,1,Product is too expensive,Less than 15000,Private company employee
Male,33-40,Student,"Email, , Finance","Instagram, Facebook, Facebook Messenger, TikTok, LINE",1-3 hours,Not important,Apple,Reliability,2,Uncertainty about warranty,Less than 15000,Business owner
Female,26-35,Single,"Art photography, Video editing, Upload stories",Facebook Messenger,5-6 hours,Not necessary,Xiaomi,Design,4,Concerns about safety,25001-35000,Freelancer
Male,56+,Married,"Watch movies/listen to music, Take photos/videos, Social media",TikTok,1-3 hours,Not important,Samsung,Sensor quality,4,Delivery delays,Less than 15000,Artist
LGBTQ+,36-45,Single,"Streaming, Take photos/videos, Edit video","Instagram, YouTube, Spotify, TikTok",>5 hours,Highly essential,Other,Stability,1,Difficult to compare prices,Less than 15000,Business owner
LGBTQ+,60+,Student,"Watch movies/listen to music, Take photos/videos",LINE,5-6 hours,Somewhat important,Oppo,Price,1,Difficult return process,100001-150000,Housewife
LGBTQ+,26-32,Married,Watch movies/listen to music,Discord,>5 hours,Not important,Huawei,Battery,2,Insufficient storage,20001-30000,Housewife
Female,18-25,Married,"Email, , Finance","Instagram, Facebook, YouTube, Facebook Messenger, Spotify",1-3 hours,Not necessary,Infinix,Price,3,No problems,Less than 15000,Online seller
Male,18-25,Single,"Watch movies/listen to music, Take photos/videos, Communication/meetings","Instagram, Facebook, YouTube, Facebook Messenger, Telegram",1-3 hours,Essential,Realme 7 5G,Product features,3,Concerns about payment security,Less than 15000,Student
Female,60+,Married,"Email, , Finance",VSCO,3-5 hours,Not important,Oppo,Stability,3,Complex payment process,Less than 15000,Manager
Male,46-55,Student,"Take photos/videos, Watch movies/Listen to music, Online shopping","Facebook, YouTube",1-3 hours,Not important,Infinix,Brand,5,Complex payment process,Less than 15000,Freelancer
Male,56+,Student,Play games,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok",3-5 hours,Not important,Other,Brand,3,Unable to inspect product,Less than 15000,Student
Male,36-45,Working,"Watch movies/listen to music, Play games, Cloud apps",Facebook,0-1 hours,Not necessary,Infinix,Battery,1,Concerns about payment security,Less than 15000,Employee
Male,60+,Single,"Streaming, Take photos/videos, Edit video","Facebook, YouTube, Facebook Messenger, Spotify",5-6 hours,Not important,Realme,Ecosystem,3,Insufficient storage,20001-30000,Civil servant
Male,26-35,Married,"Play games, Take photos/videos",Facebook,5-6 hours,Essential,Infinix,Performance,3,Uncertainty about warranty,Less than 15000,Content creator
Male,60+,Student,"Watch movies/listen to music, Play games, Cloud apps","Instagram, Facebook, YouTube, TikTok",0-1 hours,Somewhat important,Other,Reliability,2,System crashes frequently,Less than 15000,Freelancer
Female,56+,Single,"Chat with family, Read e-books, Listen to radio",Google Maps,1-3 hours,Highly essential,Vivo,Performance,5,Uncertainty about after-sales service,15001-20000,Office worker
Female,60+,Working,"TikTok, Livestream, Search information","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line",1-3 hours,Not necessary,Samsung,Simplicity,1,Uncertainty about warranty,30001-40000,Retired
Female,56+,Married,"Watch movies, Listen to music, Take photos","Instagram, YouTube, TikTok",1-3 hours,Not necessary,Other,Sensor quality,2,Concerns about payment security,Less than 15000,Investor
Female,26-35,Married,"Watch movies/listen to music, Play games, Take photos","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",3-5 hours,Somewhat important,Samsung,Ecosystem,2,Unable to inspect product,50001-100000,Business owner
Male,26-32,Single,"Take photos/videos, Communication/meetings, Social media","Facebook, Facebook Messenger, Line",3-5 hours,Highly essential,Apple,Product features,5,Warranty or service concerns,30001-40000,Business owner
Male,60+,Married,"Watch movies, Listen to music, Take photos","Instagram, Spotify, TikTok",0-1 hours,Not important,Apple,Stability,2,After-sales service issues,Less than 15000,Business owner
Female,36-45,Married,"Watch movies/listen to music, Take photos/videos","Facebook, Facebook Messenger, Spotify",3-5 hours,Not important,Huawei,Reliability,1,No problems,20001-30000,Factory worker
Male,56+,Married,"/, Email, Finance",VSCO,3-5 hours,Somewhat important,Redmi,Simplicity,5,Blurry camera,Less than 15000,Retired
LGBTQ+,26-32,Student,Play games,"Instagram, Facebook, Facebook Messenger, TikTok, LINE",5-6 hours,Somewhat important,Realme,Ecosystem,4,Concerns about safety,Less than 15000,Artist
LGBTQ+,26-35,Single,"Watch movies/listen to music, Take photos/videos, Social media",Microsoft Teams,1-3 hours,Essential,Infinix,Product reviews,3,Difficult return process,Less than 15000,Private company employee
LGBTQ+,26-32,Working,"Communication/meetings, Social media","Instagram, Facebook, Facebook Messenger, Spotify, TikTok",1-3 hours,Highly essential,Other,Ecosystem,1,Uncertainty about after-sales service,Less than 15000,Online seller
Female,36-45,Single,"Email, , Finance","Instagram, Facebook Messenger, TikTok",1-3 hours,Not necessary,Other,Stability,3,Delivery delays,15001-20000,Business owner
Female,33-40,Working,"Online shopping, Track delivery, Customer chat","Instagram, Facebook, YouTube, Facebook Messenger, Telegram",1-3 hours,Somewhat important,Huawei,Features,1,Insufficient storage,20001-30000,Freelancer
Male,26-35,Student,"GPS navigation, Check car condition, Listen to podcasts","Instagram, YouTube, Spotify, TikTok",3-5 hours,Not necessary,Oppo,Stability,1,Outdated system,Less than 15000,Business owner
LGBTQ+,26-35,Student,"Communication, Take photos, Social media",Google Maps,1-3 hours,Highly essential,Realme 7 5G,Reliability,4,Concerns about safety,Less than 15000,Business owner
Male,18-25,Married,"Watch movies/listen to music, Take photos/videos","Facebook, YouTube, Facebook Messenger, Spotify",3-5 hours,Somewhat important,Xiaomi,Battery,4,Product quality doesn't match ads,15001-20000,Manager
Female,33-40,Married,"TikTok, Livestream, Search information","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",5-6 hours,Highly essential,Xiaomi,Features,3,Warranty or service concerns,25001-35000,Delivery staff
Female,26-35,Working,"Read news, Check stocks, Finance","Instagram, Facebook, YouTube",5-6 hours,Not important,Realme 7 5G,Reliability,5,Payment issues,Less than 15000,Artist
Male,36-45,Working,"Read news, Check stocks, Finance","Facebook, Facebook Messenger, Spotify, TikTok",5-6 hours,Not important,Xiaomi,Price,5,Issues with delivery,25001-35000,Business owner
Female,33-40,Single,"Play games, Streaming, Take photos/videos","Instagram, Spotify, TikTok",3-5 hours,Not necessary,Oppo,Simplicity,2,Device overheats,Less than 15000,Factory worker
LGBTQ+,26-32,Working,"Play games, Streaming, Social media",Instagram,5-6 hours,Essential,Oppo,Design,2,Complex payment process,30001-50000,Freelancer
Female,56+,Student,"Play games, Take photos/videos, Cloud apps","Instagram, Facebook, YouTube, Facebook Messenger, Telegram",>5 hours,Highly essential,Other,Camera,4,Difficult return process,Less than 15000,Artist
LGBTQ+,33-40,Married,"Online shopping, Track delivery, Customer chat",Telegram,5-6 hours,Essential,Huawei,Value for money,2,Product quality doesn't match ads,Less than 15000,Student
Male,56+,Working,"Watch movies, Listen to music, Take photos",WhatsApp,1-3 hours,Not necessary,Vivo,Stability,3,Dead pixels on screen,Less than 15000,Housewife
Female,56+,Working,"Watch movies/listen to music, Play games, Social media","Facebook, TikTok, Line",0-1 hours,Highly essential,Infinix,Simplicity,2,Product quality doesn't match ads,Less than 15000,Freelancer
Male,60+,Married,"Email, , Finance",TikTok,1-3 hours,Highly essential,Xiaomi,Design,2,Difficult return process,Less than 15000,Investor
Male,18-25,Single,"Read news, Check stocks, Finance","Instagram, Facebook, Facebook Messenger, TikTok, LINE",1-3 hours,Not important,Samsung,Camera,3,After-sales service issues,30001-50000,Employee
Male,26-32,Married,"Streaming, Take photos/videos, Edit video",SET,1-3 hours,Highly essential,Calculator,Features,1,Unable to inspect product,15001-20000,Artist
Female,18-25,Student,"TikTok, Livestream, Search information","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok",5-6 hours,Not important,Vivo,Camera,2,Cannot try product before buying,Less than 15000,Housewife
Female,26-35,Student,"Watch movies, Play games, Take photos",VSCO,>5 hours,Not necessary,Apple,Sensor quality,1,Warranty or service concerns,Less than 15000,Civil servant
Male,36-45,Student,"Online shopping, Social media, Finance","Instagram, Facebook Messenger, TikTok",5-6 hours,Highly essential,Other,Battery,5,Difficult to compare prices,15001-20000,Online seller
LGBTQ+,18-25,Student,"Play games, Take photos/videos","Instagram, Facebook, YouTube, Facebook Messenger, Spotify",0-1 hours,Somewhat important,Xiaomi,Ecosystem,1,Blurry camera,Less than 15000,Logistics staff
Male,36-45,Student,"Product photography, Edit reviews, Online marketplace",Microsoft Teams,5-6 hours,Essential,Realme,Battery,5,Insufficient storage,Less than 15000,Online seller
LGBTQ+,18-25,Working,"Watch movies/listen to music, Take photos/videos","Instagram, YouTube, Facebook Messenger, Spotify, TikTok",3-5 hours,Highly essential,Samsung,Camera,3,Concerns about payment security,30001-40000,Freelancer
Male,60+,Single,"Play games, Take photos, Watch movies","Facebook, Facebook Messenger, Line",5-6 hours,Essential,Realme 7 5G,Value for money,4,Concerns about after-sales service,Less than 15000,Delivery staff
Female,26-35,Married,"Watch movies/listen to music, Communication/meetings, Social media","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok",>5 hours,Somewhat important,Other,Design,3,Complex payment process,15001-20000,Employee
Male,26-35,Married,"TikTok, Livestream, Search information","YouTube, TikTok",5-6 hours,Highly essential,Vivo,Product features,5,Warranty or service concerns,15001-20000,Manager
Male,60+,Married,"Watch movies/listen to music, Play games","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok",>5 hours,Not necessary,Other,Design,2,Concerns about after-sales service,Less than 15000,Private company employee
LGBTQ+,26-32,Working,"Social media, Take photos/videos, Watch movies/Listen to music","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",3-5 hours,Not important,Vivo,Brand,2,No problems,Less than 15000,Employee
Male,26-35,Married,"Communication, Take photos, Social media","Instagram, Facebook, Facebook Messenger, TikTok, LINE",5-6 hours,Not necessary,Samsung,Stability,5,Product quality doesn't match ads,Less than 15000,Private company employee
Female,56+,Single,"Watch movies/listen to music, Communication/meetings, Social media",Shopee,1-3 hours,Highly essential,Infinix,Ecosystem,5,Product is too expensive,Less than 15000,Delivery staff
LGBTQ+,60+,Single,"Watch movies/listen to music, Play games, Take photos","Instagram, Facebook, YouTube, Facebook Messenger",0-1 hours,Highly essential,Xiaomi,Brand,1,Product is too expensive,Less than 15000,Civil servant
Male,60+,Married,"Watch movies/listen to music, Play games, Social media",CapCut,5-6 hours,Essential,Xiaomi,Brand,1,Uncertainty about warranty,15001-20000,Factory worker
Male,60+,Married,"Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram",1-3 hours,Not important,Realme 7 5G,Durability,3,Concerns about warranty,Less than 15000,Civil servant
Male,18-25,Single,"Watch movies/listen to music, Play games, Social media","Instagram, Facebook, YouTube, Facebook Messenger",>5 hours,Highly essential,Samsung,Price,3,Concerns about payment security,Less than 15000,Student
Female,26-35,Married,"Play games, Streaming, Social media","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line",1-3 hours,Not important,Samsung,Brand,1,No problems,Less than 15000,Business owner
Male,60+,Working,"Watch movies/listen to music, Social media","Instagram, YouTube, Spotify, Telegram",>5 hours,Not important,Apple,Performance,2,Difficult return process,15001-20000,Retired
LGBTQ+,26-32,Single,"Online meetings, Schedule management, Email","Instagram, Facebook, Facebook Messenger, TikTok, LINE",0-1 hours,Highly essential,Huawei,Sensor quality,3,Device overheats,20001-30000,Artist
Male,26-35,Student,"Chat with family, Read e-books, Listen to radio","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",0-1 hours,Not important,Vivo,Price,4,No problems,15001-20000,Private company employee
Male,56+,Married,"/, Email, Finance",VSCO,3-5 hours,Somewhat important,Redmi,Simplicity,5,Blurry camera,Less than 15000,Retired
Male,46-55,Working,"Play games, Take photos, Watch movies","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram",>5 hours,Highly essential,Redmi,Price,3,Insufficient storage,Less than 15000,Private company employee
Female,26-35,Student,"Communication, Take photos, Social media",Microsoft Teams,3-5 hours,Not necessary,Samsung,Price,5,Unable to inspect product,Less than 15000,Investor
LGBTQ+,26-32,Single,"Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Telegram",5-6 hours,Essential,Realme,Simplicity,4,Concerns about payment security,Less than 15000,Employee
LGBTQ+,33-40,Single,"Play games, Take photos/videos",Instagram,5-6 hours,Not important,Apple,Price,3,Difficult to compare prices,50001-100000,Business owner
Male,33-40,Student,"TikTok, Livestream, Search information","Instagram, TikTok",0-1 hours,Somewhat important,Xiaomi,Price,4,Product quality doesn't match ads,Less than 15000,Factory worker
Female,26-32,Single,"Play games, Streaming, Take photos/videos","Instagram, TikTok",>5 hours,Somewhat important,Xiaomi,Simplicity,2,Warranty or service concerns,Less than 15000,Student
Male,26-32,Married,"Streaming, Take photos/videos, Edit video",SET,1-3 hours,Highly essential,Calculator,Features,1,Unable to inspect product,15001-20000,Artist
LGBTQ+,56+,Student,"Play games, Watch movies, Take photos",Facebook Messenger,0-1 hours,Not necessary,Huawei,Product reviews,2,Insufficient storage,Less than 15000,Online seller
Male,18-25,Single,"Watch movies/listen to music, Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram",1-3 hours,Highly essential,Calculator,Product features,5,Concerns about payment security,15001-20000,Student
LGBTQ+,60+,Single,"Watch movies/listen to music, Social media",Google Maps,>5 hours,Not important,Realme 7 5G,Value for money,3,Delivery delays,Less than 15000,Business owner
LGBTQ+,26-32,Single,"Communication, Take photos, Social media",Google Maps,1-3 hours,Essential,Realme 7 5G,Simplicity,1,Blurry camera,Less than 15000,Civil servant
Male,33-40,Working,"Play games, Streaming, Take photos/videos",Discord,>5 hours,Highly essential,Oppo,Features,3,Concerns about safety,Less than 15000,Retired
LGBTQ+,18-25,Student,"Play games, Take photos/videos, Social media","Instagram, Facebook, TikTok",0-1 hours,Not important,Oppo,Camera,2,Concerns about after-sales service,15001-20000,Retired
Female,18-25,Student,"Watch movies/listen to music, Play games, Take photos/videos","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",5-6 hours,Not necessary,Infinix,Camera,2,Outdated system,Less than 15000,Investor
Female,26-32,Single,"Watch movies/listen to music, Play games, Take photos","Instagram, YouTube, TikTok",1-3 hours,Somewhat important,Calculator,Value for money,1,Warranty or service concerns,15001-20000,Logistics staff
LGBTQ+,26-35,Working,"Play games, Streaming, Take photos/videos","Instagram, YouTube, TikTok",3-5 hours,Not necessary,Vivo,Product features,4,Device overheats,20001-30000,Freelancer
Female,60+,Working,"Watch movies, Take photos, Listen to music","Instagram, YouTube, TikTok",1-3 hours,Not necessary,Huawei,Performance,3,Cannot try product before buying,20001-30000,Logistics staff
Male,36-45,Working,"Watch movies/listen to music, Play games, Cloud apps",Facebook,0-1 hours,Not necessary,Infinix,Battery,1,Concerns about payment security,Less than 15000,Employee
LGBTQ+,26-35,Single,"Watch movies, Listen to music, Take photos","Facebook, Facebook Messenger, Spotify",3-5 hours,Somewhat important,Huawei,Performance,5,Payment security concerns,Less than 15000,Retired
Male,26-35,Married,"Art photography, Video editing, Upload stories","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok",1-3 hours,Somewhat important,Realme,Value for money,2,Uncertainty about warranty,15001-20000,Civil servant
LGBTQ+,33-40,Single,"Play games, Take photos/videos, Cloud apps","Instagram, Facebook, YouTube, Facebook Messenger, Telegram",3-5 hours,Not important,Infinix,Sensor quality,4,No problems,Less than 15000,Delivery staff
LGBTQ+,26-35,Working,"Play games, Take photos/videos","Instagram, Facebook, TikTok",0-1 hours,Not necessary,Apple,Brand,2,Delivery delays,Less than 15000,Content creator
Male,46-55,Single,"Watch movies/listen to music, Play games, Communication/meetings",Microsoft Teams,3-5 hours,Essential,Other,Price,4,Uncertainty about after-sales service,15001-20000,Employee
