Gender,Age_range,Status,Occupation,Monthly_income,Daily_usage_duration,Smartphone_importance,Key_factor_online_purchase,Brand_satisfaction,Purchase_problem,Frequent_apps,Top3_smartphone_activities,Current_brand
Male,26-32,Single,Business owner,20001-30000,More than 5 hours,Necessary,Product feature,5,Warranty or service concerns,"Facebook, Facebook Messenger, Spotify, TikTok","Streaming, Take photos/videos, Edit video",Vivo
Female,33-40,Single,Business owner,15001-20000,More than 5 hours,Most necessary,Product feature,1,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Play games, Take photos/videos",Oppo
Female,60+,Single,Private company employee,15001-20000,1-3 hours,Not necessary,Product feature,3,Warranty or service concerns,Discord,"Watch movies, Listen to music, Take photos",Huawei
Female,60+,Single,Factory worker,15001-20000,,Not necessary,Product feature,5,Concerns about payment security,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line","Watch movies/listen to music, Take photos/videos",Xiaomi
Female,33-40,Single,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,1,Unable to inspect product,WhatsApp,"Streaming, Take photos/videos, Edit video",Realme
Male,41-50,Single,Business owner,15001-20000,1-3 hours,Necessary,Product feature,5,Unable to inspect product,YouTube,"Cloud apps, Communication/meetings, Social media",Samsung
Male,26-32,Married,Business owner,15001-20000,,Necessary,Product feature,2,Concerns about payment security,"Instagram, Facebook, YouTube","Take photos, Listen to music, Social media",Vivo
Female,18-25,Single,Private company employee,20001-30000,1-3 hours,Necessary,Product feature,3,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok","Social media, Take photos/videos, Watch movies/Listen to music",Vivo
Male,60+,Single,Business owner,15001-20000,0-1 hours,Not necessary,Product feature,3,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify","Watch movies/listen to music, Play games, Communication/meetings",Huawei
Male,33-40,Married,Business owner,15001-20000,0-1 hours,Not necessary,Product feature,5,Unable to inspect product,"YouTube, TikTok","Watch movies/listen to music, Take photos/videos, Social media",Redmi
Female,26-32,Single,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,2,Warranty or service concerns,Facebook,"Watch movies, Take photos, Listen to music",Xiaomi
Male,60+,Married,Business owner,30001-40000,More than 5 hours,Necessary,Product feature,2,Unable to inspect product,"Instagram, Spotify, TikTok","Communication, Take photos, Social media",Oppo
Male,33-40,Single,Business owner,15001-20000,,Necessary,Product feature,5,Unable to inspect product,Microsoft Teams,"Product photography, Edit reviews, Online marketplace",Realme
Female,18-25,Single,Business owner,15001-20000,0-1 hours,Not necessary,Product feature,2,Concerns about payment security,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify","Play games, Take photos/videos, Cloud apps",Huawei
Male,41-50,Married,Student,15001-20000,3-5 hours,Necessary,Product feature,3,Unable to inspect product,"Instagram, Facebook, YouTube","Take photos, Listen to music, Social media",Realme
Male,26-32,Single,Student,20001-30000,More than 5 hours,Most necessary,Product review,1,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok","Social media, Take photos/videos, Watch movies/Listen to music",Apple
Female,26-32,Married,Factory worker,30001-40000,1-3 hours,Not necessary,Price,3,Unable to inspect product,VSCO,"Watch movies/listen to music, Social media",Oppo
Female,60+,Married,Student,20001-30000,,Not necessary,Price,2,Unable to inspect product,"Instagram, Facebook, YouTube","/, Email, Finance",Huawei
Male,41-50,Single,Private company employee,15001-20000,1-3 hours,Not necessary,Product review,5,Unable to inspect product,Gmail,"Play games, Take photos/videos, Cloud apps",Apple
Female,18-25,Single,Business owner,More than 50001,More than 5 hours,Necessary,Price,1,Warranty or service concerns,"Instagram, YouTube, Spotify, TikTok","/, Email, Finance",Apple
Female,60+,Single,Private company employee,20001-30000,1-3 hours,Necessary,Product feature,4,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X","Watch movies/listen to music, Communication/meetings, Social media",Vivo
Female,33-40,Single,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,1,Concerns about payment security,"Facebook, YouTube",Play games,Xiaomi
Female,33-40,Married,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,3,Unable to inspect product,Shopee,"Track delivery, Customer chat, Email",Oppo
Male,41-50,Single,Business owner,15001-20000,1-3 hours,Necessary,Product feature,4,Warranty or service concerns,"Facebook, YouTube","Chat with family, Read e-books, Listen to radio",Xiaomi
Male,33-40,Married,Private company employee,15001-20000,0-1 hours,Necessary,Product feature,3,Concerns about payment security,"Instagram, Facebook Messenger, TikTok","Watch movies/listen to music, Play games",Apple
Male,33-40,Single,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,3,Unable to inspect product,"Instagram, YouTube, Facebook Messenger, TikTok",Play games,Apple
Male,26-32,Single,Private company employee,15001-20000,,Not necessary,Product feature,4,Delivery delay,"Instagram, YouTube, Spotify, Telegram","/, Email, Finance",Vivo
Female,33-40,Single,Student,15001-20000,,Most necessary,Product feature,1,Unable to inspect product,"Instagram, YouTube, Facebook Messenger, Spotify, TikTok","Watch movies/listen to music, Take photos/videos, Communication/meetings",Huawei
Female,41-50,Single,Business owner,20001-30000,More than 5 hours,Not necessary,Product feature,3,Concerns about payment security,"Facebook, Facebook Messenger, Spotify","Communication, Take photos, Social media",Huawei
Female,18-25,Married,Business owner,15001-20000,1-3 hours,Not necessary,Price,3,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify","Email, , Finance",Infinix
Female,33-40,Single,Private company employee,30001-40000,More than 5 hours,Necessary,Product feature,5,Unable to inspect product,"Instagram, YouTube, Spotify, TikTok","Play esports, Stream games, Community chat",Samsung
Male,33-40,Single,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,3,Unable to inspect product,"Facebook, Facebook Messenger, Line","Cloud apps, Communication/meetings, Social media",Apple
Male,60+,Single,Student,15001-20000,1-3 hours,Most necessary,Product feature,2,Concerns about payment security,"Facebook, YouTube","Play games, Take photos/videos, Cloud apps",Xiaomi
Male,26-32,Single,Business owner,15001-20000,1-3 hours,Not necessary,Product feature,3,Unable to inspect product,VSCO,"Watch movies/listen to music, Play games, Cloud apps",Xiaomi
Male,60+,Single,Private company employee,15001-20000,,Not necessary,Product feature,2,Unable to inspect product,"Facebook, YouTube, Facebook Messenger","/, Email, Finance",Realme
Male,60+,Single,Private company employee,15001-20000,,Not necessary,Product feature,3,Unable to inspect product,"Facebook, YouTube, Facebook Messenger, Spotify","Chat with family, Read e-books, Listen to radio",Samsung
Female,41-50,Single,Private company employee,15001-20000,0-1 hours,Necessary,Product feature,4,Warranty or service concerns,"Instagram, YouTube, Facebook Messenger, Spotify, TikTok","Watch movies, Take photos, Listen to music",Realme 7 5G
Female,18-25,Single,Business owner,15001-20000,3-5 hours,Most necessary,Product feature,5,Warranty or service concerns,LINE,"Watch movies/listen to music, Play games, Social media",Apple
Female,60+,Single,Private company employee,15001-20000,1-3 hours,Most necessary,Product feature,5,Unable to inspect product,Shopee,"Watch movies/listen to music, Communication/meetings, Social media",Infinix
Female,60+,Single,Private company employee,15001-20000,,Necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook, YouTube","Take photos, Listen to music, Social media",Oppo
Female,26-32,Single,Business owner,15001-20000,3-5 hours,Necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Telegram","Watch movies/listen to music, Play games",Oppo
Female,60+,Single,Business owner,15001-20000,3-5 hours,Not necessary,Product feature,1,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X","Watch movies, Listen to music, Take photos",Samsung
Female,33-40,Single,Business owner,15001-20000,1-3 hours,Most necessary,Product feature,4,Warranty or service concerns,"Instagram, Facebook, Facebook Messenger, TikTok","Play games, Take photos/videos, Cloud apps",Apple
Male,26-32,Single,Business owner,20001-30000,3-5 hours,Necessary,Product feature,2,Warranty or service concerns,WhatsApp,"Streaming, Take photos/videos, Edit video",Huawei
Male,41-50,Married,Business owner,15001-20000,0-1 hours,Not necessary,Product feature,1,Unable to inspect product,LINE,"Read news, Check stocks, Finance",Huawei
Male,18-25,Single,Private company employee,15001-20000,,Necessary,Product feature,2,Warranty or service concerns,"Facebook, TikTok, Line",Play games,Oppo
Female,60+,Single,Private company employee,15001-20000,0-1 hours,Necessary,Product feature,2,Delivery delay,"YouTube, TikTok","Email, , Finance",Infinix
Male,26-32,Married,Private company employee,15001-20000,,Not necessary,Product feature,1,Unable to inspect product,"YouTube, TikTok","Read news, Check stocks, Finance",Realme
Male,26-32,Single,Business owner,15001-20000,1-3 hours,Necessary,Product feature,5,Unable to inspect product,"Instagram, YouTube, Facebook Messenger, TikTok","Take photos/videos, Communication/meetings, Social media",Huawei
Female,26-32,Married,Business owner,20001-30000,,Not necessary,Product feature,4,Unable to inspect product,Shopee,"Take photos/videos, Watch movies/Listen to music, Online shopping",Realme
Male,33-40,Single,Business owner,More than 50001,1-3 hours,Necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, YouTube, TikTok","Play games, Take photos/videos, Cloud apps",Oppo
Female,60+,Married,Private company employee,15001-20000,More than 5 hours,Necessary,Product feature,1,Concerns about payment security,"Facebook, TikTok, Line","Social media, Take photos/videos, Watch movies/Listen to music",Apple
Male,26-32,Married,Private company employee,20001-30000,More than 5 hours,Not necessary,Product feature,1,Unable to inspect product,"Instagram, YouTube, Facebook Messenger, Spotify, TikTok","Play games, Take photos/videos",Huawei
Female,26-32,Single,Private company employee,15001-20000,0-1 hours,Necessary,Price,4,Warranty or service concerns,VSCO,"TikTok, Livestream, Search information",Oppo
Female,26-32,Married,Private company employee,20001-30000,,Necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Play games, Take photos/videos, Social media",Xiaomi
Male,41-50,Married,Business owner,15001-20000,3-5 hours,Necessary,Product feature,3,Unable to inspect product,Facebook,"Email, , Finance",Infinix
Male,60+,Single,Private company employee,15001-20000,More than 5 hours,Most necessary,Product feature,5,Warranty or service concerns,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok","Take photos/videos, Communication/meetings, Social media",Huawei
Male,26-32,Single,Private company employee,15001-20000,More than 5 hours,Necessary,Product feature,4,Concerns about payment security,"YouTube, TikTok","Chat with family, Read e-books, Listen to radio",Apple
Male,26-32,Married,Private company employee,15001-20000,1-3 hours,Most necessary,Product feature,2,Unable to inspect product,"Facebook, YouTube, Facebook Messenger, Spotify","Watch movies/listen to music, Take photos/videos",Samsung
Male,60+,Married,Government officer,15001-20000,0-1 hours,Not necessary,Product feature,2,Warranty or service concerns,"Instagram, Facebook Messenger, TikTok","Track delivery, Customer chat, Email",Realme 7 5G
Male,18-25,Single,Private company employee,15001-20000,3-5 hours,Not necessary,Product feature,4,Concerns about payment security,"Instagram, Facebook, YouTube, Facebook Messenger, Telegram","TikTok, Livestream, Search information",Xiaomi
Female,26-32,Married,Private company employee,30001-40000,3-5 hours,Necessary,Product feature,2,Warranty or service concerns,Facebook Messenger,"Online meetings, Schedule management, Email",Samsung
Female,41-50,Single,Student,15001-20000,More than 5 hours,Necessary,Product review,5,Unable to inspect product,"Facebook, YouTube","Streaming, Take photos/videos, Edit video",Oppo
Male,26-32,Single,Private company employee,More than 50001,3-5 hours,Necessary,Product feature,5,Unable to inspect product,Instagram,"Watch movies/listen to music, Take photos/videos, Social media",Apple
Female,18-25,Single,Business owner,More than 50001,1-3 hours,Necessary,Product feature,1,Warranty or service concerns,CapCut,"Play games, Take photos/videos, Cloud apps",Samsung
Male,26-32,Single,Business owner,15001-20000,0-1 hours,Necessary,Product feature,1,Unable to inspect product,"Instagram, YouTube, TikTok","Watch movies/listen to music, Play games",Samsung
Male,26-32,Married,Private company employee,15001-20000,More than 5 hours,Not necessary,Product review,2,Warranty or service concerns,"Instagram, Spotify, TikTok","Watch movies/listen to music, Take photos/videos",Samsung
Female,60+,Married,Private company employee,15001-20000,0-1 hours,Necessary,Product feature,5,Warranty or service concerns,"Instagram, YouTube, Spotify, TikTok","Play esports, Stream games, Community chat",Xiaomi
Female,33-40,Single,Private company employee,15001-20000,More than 5 hours,Necessary,Product feature,3,Warranty or service concerns,"YouTube, Facebook Messenger, Discord, Wise","Watch movies, Take photos, Listen to music",Realme 7 5G
Female,60+,Married,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, TikTok","GPS navigation, Check car condition, Listen to podcasts",Realme 7 5G
Male,18-25,Married,Factory worker,15001-20000,,Not necessary,Product feature,2,Concerns about payment security,Discord,"TikTok, Livestream, Search information",Vivo
Female,41-50,Married,Business owner,20001-30000,1-3 hours,Not necessary,Price,3,Unable to inspect product,YouTube,"/, Email, Finance",Vivo
Male,33-40,Single,Private company employee,15001-20000,3-5 hours,Not necessary,Product feature,3,Warranty or service concerns,"Instagram, Facebook, YouTube, Spotify, TikTok","Play esports, Stream games, Community chat",Realme
Female,18-25,Single,Private company employee,20001-30000,0-1 hours,Not necessary,Product review,3,Warranty or service concerns,"Instagram, Facebook, YouTube, TikTok","Play games, Streaming, Take photos/videos",Realme
