@RELATION smartphone

@ATTRIBUTE Gender {Female, LGBTQ+, Male}
@ATTRIBUTE Age_range {18-25, 26-32, 26-35, 33-40, 36-45, 46-55, 56+, 60+}
@ATTRIBUTE Status {Married, Single, Student, Working}
@ATTRIBUTE Top3_smartphone_activities {'/, Email, Finance', 'Art photography, Video editing, Upload stories', 'Chat with family, Read e-books, Listen to radio', 'Cloud apps, Communication/meetings, Social media', 'Communication, Take photos, Social media', 'Communication/meetings, Social media', 'Email, , Finance', 'GPS navigation, Check car condition, Listen to podcasts', 'Online meetings, Schedule management, Email', 'Online shopping, Social media, Finance', 'Online shopping, Track delivery, Customer chat', 'Play esports, Stream games, Community chat', 'Play games', 'Play games, Streaming, Social media', 'Play games, Streaming, Take photos/videos', 'Play games, Take photos, Watch movies', 'Play games, Take photos/videos', 'Play games, Take photos/videos, Cloud apps', 'Play games, Take photos/videos, Social media', 'Play games, Watch movies, Take photos', 'Product photography, Edit reviews, Online marketplace', 'Read news, Check stocks, Finance', 'Social media, Take photos/videos, Watch movies/Listen to music', 'Streaming, Take photos/videos, Edit video', 'Take photos, Listen to music, Social media', 'Take photos/videos, Communication/meetings, Social media', 'Take photos/videos, Watch movies/Listen to music, Online shopping', 'TikTok, Livestream, Search information', 'Track delivery, Customer chat, Email', 'Watch movies, Listen to music, Take photos', 'Watch movies, Play games, Take photos', 'Watch movies, Take photos, Listen to music', 'Watch movies/listen to music', 'Watch movies/listen to music, Communication/meetings, Social media', 'Watch movies/listen to music, Play games', 'Watch movies/listen to music, Play games, Cloud apps', 'Watch movies/listen to music, Play games, Communication/meetings', 'Watch movies/listen to music, Play games, Social media', 'Watch movies/listen to music, Play games, Take photos', 'Watch movies/listen to music, Play games, Take photos/videos', 'Watch movies/listen to music, Social media', 'Watch movies/listen to music, Take photos/videos', 'Watch movies/listen to music, Take photos/videos, Communication/meetings', 'Watch movies/listen to music, Take photos/videos, Social media'}
@ATTRIBUTE Frequent_apps {CapCut, Discord, Facebook, 'Facebook Messenger', 'Facebook, Facebook Messenger, Line', 'Facebook, Facebook Messenger, Spotify', 'Facebook, Facebook Messenger, Spotify, TikTok', 'Facebook, TikTok, Line', 'Facebook, YouTube', 'Facebook, YouTube, Facebook Messenger', 'Facebook, YouTube, Facebook Messenger, Spotify', 'Facebook, YouTube, Facebook Messenger, TikTok', Gmail, 'Google Maps', Instagram, 'Instagram, Facebook Messenger, TikTok', 'Instagram, Facebook, Facebook Messenger, Spotify, TikTok', 'Instagram, Facebook, Facebook Messenger, TikTok', 'Instagram, Facebook, Facebook Messenger, TikTok, LINE', 'Instagram, Facebook, Facebook Messenger, TikTok, Telegram', 'Instagram, Facebook, TikTok', 'Instagram, Facebook, YouTube', 'Instagram, Facebook, YouTube, Facebook Messenger', 'Instagram, Facebook, YouTube, Facebook Messenger, Spotify', 'Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok', 'Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram', 'Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram', 'Instagram, Facebook, YouTube, Facebook Messenger, Telegram', 'Instagram, Facebook, YouTube, Facebook Messenger, TikTok', 'Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line', 'Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X', 'Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram', 'Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok', 'Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok', 'Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram', 'Instagram, Facebook, YouTube, Spotify, TikTok', 'Instagram, Facebook, YouTube, TikTok', 'Instagram, Spotify, TikTok', 'Instagram, TikTok', 'Instagram, YouTube, Facebook Messenger, Spotify, TikTok', 'Instagram, YouTube, Facebook Messenger, TikTok', 'Instagram, YouTube, Spotify, Telegram', 'Instagram, YouTube, Spotify, TikTok', 'Instagram, YouTube, TikTok', LINE, 'Microsoft Teams', SET, Shopee, Telegram, TikTok, VSCO, WhatsApp, YouTube, 'YouTube, Facebook Messenger, Discord, Wise', 'YouTube, TikTok'}
@ATTRIBUTE Daily_usage_duration {'0-1 hours', '1-3 hours', '3-5 hours', '5-6 hours', '>5 hours'}
@ATTRIBUTE Smartphone_importance {Essential, 'Highly essential', 'Not important', 'Not necessary', 'Somewhat important'}
@ATTRIBUTE Key_factor_online_purchase {Battery, Brand, Camera, Design, Durability, Ecosystem, Features, Performance, Price, 'Product features', 'Product reviews', Reliability, 'Sensor quality', Simplicity, Stability, 'Value for money'}
@ATTRIBUTE Brand_satisfaction NUMERIC
@ATTRIBUTE Purchase_problem {'After-sales service issues', 'Blurry camera', 'Cannot try product before buying', 'Complex payment process', 'Concerns about after-sales service', 'Concerns about payment security', 'Concerns about safety', 'Concerns about warranty', 'Dead pixels on screen', 'Delivery delays', 'Device overheats', 'Difficult return process', 'Difficult to compare prices', 'Insufficient storage', 'Issues with delivery', 'Limited warranty coverage', 'No problems', 'Outdated system', 'Payment issues', 'Payment security concerns', 'Product is too expensive', 'Product quality doesn\'t match ads', 'System crashes frequently', 'Unable to inspect product', 'Uncertainty about after-sales service', 'Uncertainty about warranty', 'Warranty or service concerns'}
@ATTRIBUTE Monthly_income {100001-150000, 15001-20000, 20001-30000, 25001-35000, 30001-40000, 30001-50000, 50001, 50001-100000, 'Less than 15000'}
@ATTRIBUTE Occupation {Artist, 'Business owner', 'Civil servant', 'Content creator', 'Delivery staff', Employee, 'Factory worker', Freelancer, Housewife, Investor, 'Logistics staff', Manager, 'Office worker', 'Online seller', 'Private company employee', Retired, Student}
@ATTRIBUTE Current_brand {Apple, Huawei, Infinix, Oppo, Realme, 'Realme 7 5G', Redmi, Samsung, Vivo, Xiaomi}

@DATA
LGBTQ+,33-40,Single,'Online shopping, Track delivery, Customer chat','Instagram, Facebook, YouTube, Facebook Messenger, Spotify','0-1 hours','Not necessary',Battery,4,'Dead pixels on screen','Less than 15000','Delivery staff',Redmi
Male,46-55,Student,'Watch movies/listen to music, Social media','Instagram, YouTube, TikTok','>5 hours','Highly essential',Features,2,'Concerns about safety','Less than 15000',Freelancer,Infinix
Male,33-40,Working,'Online shopping, Social media, Finance','Instagram, YouTube, Facebook Messenger, Spotify, TikTok','0-1 hours','Somewhat important',Durability,2,'Concerns about warranty',50001-100000,'Logistics staff',Samsung
Female,46-55,Student,'Play games, Watch movies, Take photos','Instagram, Facebook, Facebook Messenger, TikTok, Telegram','>5 hours','Somewhat important',Durability,4,'Cannot try product before buying',25001-35000,Artist,Xiaomi
Female,36-45,Married,'Watch movies/listen to music, Play games, Take photos/videos','Google Maps','>5 hours',Essential,Reliability,5,'Payment security concerns','Less than 15000',Artist,Huawei
Female,46-55,Married,'Play esports, Stream games, Community chat','Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram','5-6 hours','Somewhat important',Performance,2,'Warranty or service concerns',20001-30000,Housewife,Vivo
Female,18-25,Working,'Watch movies/listen to music, Social media',YouTube,'1-3 hours','Not necessary',Features,5,'Difficult to compare prices',30001-50000,'Business owner',Samsung
Female,33-40,Married,'Watch movies, Listen to music, Take photos',Shopee,'5-6 hours','Not necessary','Value for money',1,'Concerns about payment security','Less than 15000',Manager,Redmi
LGBTQ+,36-45,Single,'Play games, Take photos/videos, Social media',CapCut,'0-1 hours','Highly essential',Ecosystem,2,'Warranty or service concerns',15001-20000,'Content creator',Oppo
LGBTQ+,33-40,Married,'Cloud apps, Communication/meetings, Social media','Facebook, TikTok, Line','1-3 hours','Somewhat important',Reliability,1,'Product is too expensive','Less than 15000',Housewife,Realme
Male,18-25,Single,'Watch movies/listen to music, Play games, Social media','Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok','>5 hours','Highly essential','Product features',4,'Warranty or service concerns','Less than 15000',Student,Infinix
LGBTQ+,36-45,Single,'Play games, Take photos/videos, Social media',CapCut,'0-1 hours','Highly essential',Ecosystem,2,'Warranty or service concerns',15001-20000,'Content creator',Oppo
LGBTQ+,56+,Student,'Streaming, Take photos/videos, Edit video','Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram','1-3 hours','Not important',Reliability,2,'Cannot try product before buying','Less than 15000',Artist,Vivo
LGBTQ+,36-45,Student,'Take photos/videos, Communication/meetings, Social media','Instagram, YouTube, Facebook Messenger, Spotify, TikTok','1-3 hours','Somewhat important',Ecosystem,1,'Concerns about payment security','Less than 15000',Housewife,Realme
Male,26-35,Married,'Play games, Take photos/videos',Facebook,'5-6 hours',Essential,Performance,3,'Uncertainty about warranty','Less than 15000','Content creator',Infinix
LGBTQ+,46-55,Married,'Watch movies/listen to music, Play games, Social media',Gmail,'5-6 hours','Highly essential',Price,1,'Payment issues',15001-20000,'Online seller',Vivo
Female,56+,Single,'Play games, Take photos, Watch movies',Facebook,'>5 hours','Highly essential',Brand,4,'Warranty or service concerns','Less than 15000','Delivery staff',Vivo
Male,60+,Married,'Online meetings, Schedule management, Email','Instagram, Facebook Messenger, TikTok','5-6 hours','Not necessary',Ecosystem,5,'Product is too expensive','Less than 15000',Artist,Huawei
Female,36-45,Student,'Play games, Streaming, Take photos/videos','Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok','3-5 hours','Not important','Product reviews',3,'Concerns about safety','Less than 15000',Retired,Xiaomi
Male,26-35,Student,'Watch movies/listen to music, Social media',Discord,'0-1 hours','Somewhat important','Sensor quality',1,'Uncertainty about after-sales service','Less than 15000','Private company employee',Infinix
Female,26-35,Single,'Play games, Take photos/videos','Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok','5-6 hours','Highly essential',Reliability,5,'Difficult to compare prices',15001-20000,'Private company employee',Oppo
LGBTQ+,26-35,Married,'Watch movies, Take photos, Listen to music','Instagram, Facebook, YouTube, Facebook Messenger, Spotify','>5 hours','Not important',Performance,5,'Concerns about safety','Less than 15000','Delivery staff',Huawei
Male,60+,Married,'Watch movies/listen to music, Take photos/videos','Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok','5-6 hours','Not necessary',Price,4,'Outdated system','Less than 15000','Office worker',Xiaomi
Male,26-35,Married,'Online shopping, Track delivery, Customer chat','Instagram, Facebook, TikTok','5-6 hours','Somewhat important',Camera,4,'System crashes frequently','Less than 15000',Employee,Xiaomi
Male,56+,Married,'Take photos, Listen to music, Social media','Facebook, TikTok, Line','1-3 hours','Not necessary',Battery,4,'Dead pixels on screen','Less than 15000',Freelancer,Huawei
LGBTQ+,33-40,Single,'Play esports, Stream games, Community chat','Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok','3-5 hours','Somewhat important',Ecosystem,1,'Limited warranty coverage','Less than 15000',Artist,Infinix
Male,60+,Working,'Art photography, Video editing, Upload stories','Facebook, Facebook Messenger, Spotify','0-1 hours','Not necessary',Brand,1,'Difficult to compare prices',15001-20000,Artist,Realme
Male,26-32,Working,'Communication, Take photos, Social media','Instagram, Facebook, TikTok','5-6 hours','Not important','Product features',5,'Outdated system','Less than 15000','Logistics staff',Redmi
Female,60+,Working,'Online shopping, Social media, Finance','Instagram, Facebook, YouTube, Facebook Messenger, TikTok','0-1 hours','Somewhat important',Stability,3,'Uncertainty about warranty',20001-30000,Investor,Realme
Male,26-32,Working,'Communication, Take photos, Social media','Instagram, Facebook, TikTok','5-6 hours','Not important','Product features',5,'Outdated system','Less than 15000','Logistics staff',Redmi
Female,56+,Single,'Watch movies/listen to music','Instagram, Facebook, YouTube, Facebook Messenger, Spotify','5-6 hours','Highly essential',Features,3,'Concerns about warranty','Less than 15000','Online seller',Vivo
LGBTQ+,33-40,Single,'Online shopping, Track delivery, Customer chat','Instagram, Facebook, YouTube, Facebook Messenger, Spotify','0-1 hours','Not necessary',Battery,4,'Dead pixels on screen','Less than 15000','Delivery staff',Redmi
LGBTQ+,46-55,Working,'Social media, Take photos/videos, Watch movies/Listen to music','Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok','0-1 hours','Somewhat important',Camera,1,'Concerns about warranty',15001-20000,'Civil servant',Apple
Male,56+,Married,'/, Email, Finance',VSCO,'3-5 hours','Somewhat important',Simplicity,5,'Blurry camera','Less than 15000',Retired,Redmi
LGBTQ+,18-25,Married,'Take photos/videos, Communication/meetings, Social media','YouTube, TikTok','0-1 hours','Highly essential',Performance,2,'No problems',30001-50000,'Delivery staff',Oppo
LGBTQ+,36-45,Student,'Watch movies/listen to music, Play games, Take photos/videos','Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram','5-6 hours','Not necessary',Reliability,2,'Product quality doesn\'t match ads','Less than 15000','Office worker',Redmi
Female,26-35,Married,'Play games, Take photos, Watch movies','Instagram, Facebook, YouTube, Facebook Messenger','0-1 hours','Highly essential',Price,2,'Difficult return process',15001-20000,'Private company employee',Oppo
LGBTQ+,18-25,Working,'Online shopping, Social media, Finance','Instagram, Facebook, Facebook Messenger, TikTok, LINE','1-3 hours','Not important','Sensor quality',2,'Dead pixels on screen','Less than 15000','Logistics staff',Infinix
Male,26-35,Student,'Play esports, Stream games, Community chat','Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram','>5 hours','Somewhat important',Stability,3,'Complex payment process',20001-30000,Student,Realme
LGBTQ+,33-40,Single,'Online shopping, Track delivery, Customer chat','Instagram, Facebook, YouTube, Facebook Messenger, Spotify','0-1 hours','Not necessary',Battery,4,'Dead pixels on screen','Less than 15000','Delivery staff',Redmi
LGBTQ+,56+,Married,'Product photography, Edit reviews, Online marketplace',Telegram,'1-3 hours','Not important',Brand,4,'Outdated system',20001-30000,Housewife,Vivo
Female,36-45,Working,'Communication/meetings, Social media',WhatsApp,'0-1 hours','Somewhat important',Camera,5,'No problems',20001-30000,'Logistics staff',Realme
Female,26-35,Working,'/, Email, Finance','Instagram, Facebook, Facebook Messenger, TikTok, LINE','5-6 hours','Highly essential',Battery,4,'Difficult return process','Less than 15000',Housewife,Huawei
LGBTQ+,60+,Married,'Watch movies/listen to music, Play games','Microsoft Teams','5-6 hours','Somewhat important',Reliability,3,'Issues with delivery','Less than 15000','Logistics staff',Apple
LGBTQ+,36-45,Student,'Watch movies/listen to music, Play games, Take photos/videos','Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram','5-6 hours','Not necessary',Reliability,2,'Product quality doesn\'t match ads','Less than 15000','Office worker',Redmi
Female,18-25,Student,'Social media, Take photos/videos, Watch movies/Listen to music',Instagram,'>5 hours',Essential,Design,5,'Concerns about payment security','Less than 15000',Student,Vivo
Male,18-25,Single,'Watch movies/listen to music, Play games, Social media',Facebook,'>5 hours','Highly essential',Price,5,'Issues with delivery','Less than 15000',Student,Redmi
LGBTQ+,33-40,Single,'Play esports, Stream games, Community chat','Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok','3-5 hours','Somewhat important',Ecosystem,1,'Limited warranty coverage','Less than 15000',Artist,Infinix
LGBTQ+,26-35,Working,'Read news, Check stocks, Finance','Instagram, Facebook, TikTok','3-5 hours','Somewhat important','Sensor quality',2,'Concerns about safety',15001-20000,'Logistics staff',Oppo
Female,26-35,Student,'Online meetings, Schedule management, Email','Instagram, Facebook, YouTube, Spotify, TikTok','>5 hours','Highly essential','Sensor quality',2,'Difficult to compare prices','Less than 15000',Manager,'Realme 7 5G'
LGBTQ+,33-40,Student,'Watch movies/listen to music, Communication/meetings, Social media','Instagram, YouTube, Facebook Messenger, TikTok','3-5 hours','Not necessary','Product features',5,'Blurry camera','Less than 15000','Logistics staff',Xiaomi
